Size,Traditional,Divide & Conquer, Strassen
2x2,700,1920,715
4x4,2685,14315,134780
8x8,16250,90900,81505
16x16,81210,521965,333430
32x32,75285,6928775,2986960
64x64,279475,31344460,20391815
128x128,1345525,227009395,96298685
256x256,12998590,1812589115,676649945
2x2,210,610,265
4x4,325,6460,4725
8x8,775,53765,38265
16x16,3670,439685,276210
32x32,23255,3517115,1973085
64x64,170380,28374965,13670035
128x128,1366810,226620160,96461395
256x256,13151465,1814247095,675856955
2x2,220,595,295
4x4,315,6415,4675
8x8,780,54255,38100
16x16,3655,440185,275510
32x32,22990,3516835,1949465
64x64,169490,28398835,13626905
128x128,1353285,227834045,96735170
256x256,13580130,1814807245,677022495
2x2,220,550,285
4x4,315,6525,4850
8x8,765,54300,37915
16x16,3675,440315,279185
32x32,23415,3566080,2050760
64x64,169470,28353700,13661045
128x128,1370870,226809395,96257815
256x256,13530625,1816602585,677369930
2x2,230,585,295
4x4,310,6445,4715
8x8,770,53955,38305
16x16,3665,438000,278205
32x32,23030,3529855,1950290
64x64,170280,28380120,13609790
128x128,1365940,226926840,96286045
256x256,14166935,1813857885,676852865
2x2,205,570,275
4x4,310,6410,4710
8x8,770,54030,37870
16x16,3690,433345,275935
32x32,22780,3515245,1944940
64x64,169560,28284065,13557450
128x128,1367965,226481690,96309960
256x256,13991895,1817562310,675888910
2x2,225,525,310
4x4,310,6455,4675
8x8,870,54210,38100
16x16,3630,437955,275965
32x32,22730,3542975,1960375
64x64,170110,28309980,13712460
128x128,1378190,226561560,96472910
256x256,13588315,1814720940,676179370
2x2,230,615,270
4x4,315,6435,4765
8x8,785,55730,38350
16x16,3700,445685,280005
32x32,22990,3554280,1967525
64x64,171860,28350270,13639810
128x128,1371370,226758275,96299920
256x256,14007860,1814583085,675829600
2x2,225,575,265
4x4,315,6555,4775
8x8,805,55040,38545
16x16,3705,444340,279685
32x32,23030,3539005,1959805
64x64,170275,28424255,13816095
128x128,1371075,226539425,96591570
256x256,13902550,1813304215,676260495
2x2,245,535,285
4x4,305,6490,4660
8x8,765,54155,38040
16x16,3645,438350,275790
32x32,22830,3558930,1967380
64x64,211455,28542340,13717910
128x128,1349390,226110710,96750665
256x256,13652095,1813600255,676295405
2x2,230,585,270
4x4,310,6425,4735
8x8,915,55025,38360
16x16,3675,445175,279680
32x32,22940,3551940,1971065
64x64,173300,28456035,13597540
128x128,1350200,226641970,96693935
256x256,13796475,1813572920,676923580
2x2,225,530,280
4x4,335,6390,4770
8x8,790,53980,38525
16x16,3665,459795,277410
32x32,22940,3519550,1940895
64x64,169635,28335015,13649655
128x128,1365635,228937070,96342205
256x256,13988550,1817346635,677986630
2x2,240,530,270
4x4,305,6410,4745
8x8,770,54725,37970
16x16,3655,435650,274380
32x32,22910,3547475,1975140
64x64,170895,28646210,13736140
128x128,1363540,226594700,96411555
256x256,14199565,1815366240,677446295
2x2,220,545,270
4x4,310,6570,4755
8x8,780,76090,38555
16x16,3695,440505,275885
32x32,23135,3545315,1965855
64x64,171125,28455785,13635230
128x128,1361275,226975060,96795845
256x256,13114425,1815159575,675832875
2x2,230,580,305
4x4,320,6480,4770
8x8,780,55505,38620
16x16,3700,446445,282015
32x32,23075,3583550,1967460
64x64,171110,28301540,13632940
128x128,1374360,226402540,96243970
256x256,13668365,1812348290,676170905
2x2,215,615,265
4x4,320,6400,4735
8x8,765,53795,37935
16x16,3650,434975,277895
32x32,22805,3510205,1952410
64x64,169140,28417500,13723765
128x128,1377430,226289885,96574735
256x256,14016170,1813000595,676497915
2x2,230,570,300
4x4,345,6450,4775
8x8,795,54450,38430
16x16,3675,441820,277900
32x32,23025,3552780,1961625
64x64,169620,28274875,13608525
128x128,1354000,226374155,96087520
256x256,13873285,1812551695,675601135
2x2,225,555,275
4x4,310,6395,4720
8x8,770,53920,37970
16x16,3680,441740,276735
32x32,22750,3562685,1967340
64x64,172160,28678225,13725920
128x128,1351745,226478280,96679700
256x256,13708585,1814930615,675938975
2x2,235,630,280
4x4,335,6400,4740
8x8,765,54355,38380
16x16,3680,442580,276240
32x32,22995,3531695,1966175
64x64,169970,28278210,13634720
128x128,1360325,226628845,96505370
256x256,13808920,1813380565,676226915
2x2,225,560,270
4x4,305,6465,4725
8x8,775,54185,37980
16x16,3765,442945,276745
32x32,22915,3546590,1967270
64x64,171455,28332640,14114705
128x128,1356945,226747295,96540555
256x256,13581730,1814823125,675948080
2x2,235,575,260
4x4,315,6475,4770
8x8,785,55090,38410
16x16,3730,441915,278660
32x32,23175,3557680,1959440
64x64,169355,28359765,13791780
128x128,1350685,226936795,96791815
256x256,14134665,1814104380,676094560
2x2,220,540,265
4x4,305,6370,4720
8x8,790,54140,38050
16x16,3640,440490,275010
32x32,22880,3524495,1952240
64x64,169120,28395395,13744135
128x128,1381565,226566295,96425800
256x256,13622095,1813012860,678204455
2x2,235,560,275
4x4,335,7510,4745
8x8,780,54720,38560
16x16,3675,463600,277060
32x32,23900,3565545,1983790
64x64,171595,28399825,13687315
128x128,1352575,226761365,96360740
256x256,13488065,1813199520,676451820
2x2,220,590,310
4x4,310,6430,4745
8x8,790,55190,38780
16x16,3645,444555,285035
32x32,23215,3541780,1982635
64x64,170600,28305710,13698860
128x128,1372645,226526220,96419970
256x256,13897945,1815145160,676501560
2x2,220,570,285
4x4,310,6500,4785
8x8,785,55270,38675
16x16,3700,442340,278815
32x32,23045,3533990,1963700
64x64,172295,28347795,13674845
128x128,1350660,226302780,97051185
256x256,14126380,1817384975,677042105
2x2,225,575,270
4x4,320,6660,4720
8x8,770,54440,38390
16x16,3685,443115,276245
32x32,22840,3554145,1949260
64x64,170120,28248705,13715205
128x128,1366515,226681800,96443960
256x256,13784520,1814149250,677080020
2x2,215,600,305
4x4,320,6520,4860
8x8,800,55835,39090
16x16,3755,451735,282390
32x32,23320,3763580,1983885
64x64,172970,29128375,13768055
