Size,Traditional,Divide & Conquer, Strassen
2x2,725,1290,580
4x4,2890,14450,129860
8x8,16225,88225,78635
16x16,82730,528955,331620
32x32,73965,6768970,2955025
64x64,246905,29829925,24666520
128x128,1356195,225584635,96220375
256x256,12936925,1803989350,673223755
2x2,200,520,260
4x4,320,6830,4700
8x8,775,54170,38095
16x16,3670,438920,275630
32x32,22790,3503425,1961870
64x64,170730,28144150,13729210
128x128,1348660,224908555,96191065
256x256,12820170,1805943475,673636815
2x2,210,635,280
4x4,305,6415,4690
8x8,770,53685,37965
16x16,3640,438385,274610
32x32,22930,3515775,1945075
64x64,169440,28207635,13643805
128x128,1329275,224675810,96478665
256x256,12871675,1804020235,672990270
2x2,200,585,290
4x4,315,6425,4720
8x8,785,53535,38540
16x16,3645,440570,277390
32x32,22915,3537510,1953545
64x64,168790,28185710,13711890
128x128,1379400,224551385,96146505
256x256,13007290,1804552575,673332305
2x2,275,625,300
4x4,305,6395,4710
8x8,775,53995,38020
16x16,3630,439375,275125
32x32,22800,3512865,1963900
64x64,169330,28258140,13669690
128x128,1349075,224612785,96078090
256x256,13162415,1806052430,673248050
2x2,220,560,270
4x4,310,6440,4690
8x8,780,54065,38650
16x16,3690,441265,274005
32x32,23730,3507570,1954265
64x64,171095,28274695,13663110
128x128,1340145,224537005,96266275
256x256,13306770,1805291135,673386965
2x2,220,650,270
4x4,310,6300,4720
8x8,775,53885,38530
16x16,3705,445510,277160
32x32,22760,3539645,1941635
64x64,170425,28326735,13689210
128x128,1346790,224622365,96280240
256x256,13941285,1806190815,673715015
2x2,215,615,285
4x4,315,6320,4695
8x8,765,53955,38025
16x16,3670,438985,275760
32x32,22840,3513280,1953280
64x64,169380,28181360,13675470
128x128,1363295,224424265,96106750
256x256,13898435,1804610375,674460250
2x2,220,625,265
4x4,310,6375,4870
8x8,785,53950,38280
16x16,3645,440440,275080
32x32,22770,3514605,1939105
64x64,169080,28298405,13784865
128x128,1366585,224377825,96271610
256x256,13879510,1804829300,673296040
2x2,225,555,310
4x4,315,6390,4745
8x8,780,54425,38310
16x16,3655,443200,275960
32x32,23005,3565305,1942730
64x64,168935,28172055,13752275
128x128,1358435,224506405,96012465
256x256,13391425,1804096515,673551760
2x2,225,525,280
4x4,320,6250,4715
8x8,775,53470,37795
16x16,3640,435675,274205
32x32,22715,3523370,1946545
64x64,169185,28165300,13899400
128x128,1349100,224498175,96113480
256x256,13709965,1807547325,673042605
2x2,220,600,295
4x4,315,6475,4740
8x8,765,54435,38285
16x16,3640,461925,276105
32x32,22925,3511350,1938050
64x64,169025,28342815,13766320
128x128,1348980,224304430,96150900
256x256,13765525,1803955105,673468625
2x2,240,575,280
4x4,315,6845,4705
8x8,780,53820,37915
16x16,3660,443120,277285
32x32,22770,3520435,1964875
64x64,169625,28367635,13723160
128x128,1349115,224766680,96438055
256x256,14077345,1805260915,673356405
2x2,230,625,270
4x4,305,6565,4700
8x8,760,53840,37885
16x16,3830,438160,275585
32x32,22770,3508690,1975590
64x64,170230,28357535,13713830
128x128,1355920,224363890,96192120
256x256,12956140,1804801965,673221740
2x2,220,550,290
4x4,305,6265,4720
8x8,765,54010,37825
16x16,3640,438440,273845
32x32,22840,3531725,1944080
64x64,170140,28325500,13667025
128x128,1348855,224619635,96071450
256x256,13498365,1804325400,673502690
2x2,215,530,285
4x4,310,6285,4710
8x8,775,53775,38095
16x16,3630,439820,275395
32x32,24670,3518315,1952350
64x64,173625,28392260,13663865
128x128,1357265,224404905,96116285
256x256,13885610,1807386280,673494210
2x2,235,675,265
4x4,310,6365,4710
8x8,795,53875,37935
16x16,3655,452770,278905
32x32,22925,3539970,1963550
64x64,171155,28315755,13694720
128x128,1361775,224706535,96212185
256x256,13294335,1804125200,673224940
2x2,230,570,300
4x4,310,6305,4780
8x8,785,54360,38540
16x16,3670,443500,303535
32x32,23455,3570375,1951835
64x64,171230,28261260,13736190
128x128,1362130,224735115,95936655
256x256,13642715,1804889955,673531815
2x2,220,560,275
4x4,305,6530,4720
8x8,780,54040,38000
16x16,3820,440750,276250
32x32,23390,3537080,1960870
64x64,170900,28332590,13718810
128x128,1349980,224545740,96026145
256x256,13704085,1803857420,673472545
2x2,200,585,270
4x4,315,6355,4750
8x8,775,54145,38530
16x16,3685,444325,277580
32x32,22910,3524095,1946455
64x64,169745,28257215,13690325
128x128,1345330,224816100,96019925
256x256,15488240,1803800525,673421125
2x2,225,600,300
4x4,310,6360,4775
8x8,780,54410,38200
16x16,3690,443805,277535
32x32,23190,3546195,1954115
64x64,168885,28227695,13656695
128x128,1354765,224486620,96202380
256x256,14005235,1804001245,673328710
2x2,225,540,260
4x4,310,6365,4725
8x8,780,54000,38640
16x16,3690,437460,274335
32x32,22810,3521830,1947135
64x64,170015,28204020,13648965
128x128,1347625,224603995,96057075
256x256,13790140,1805094625,673261920
2x2,235,595,290
4x4,305,6515,4735
8x8,775,54560,38575
16x16,3650,462475,275615
32x32,22900,3509565,1942335
64x64,169480,28185520,13699435
128x128,1365415,224502225,95887245
256x256,14015215,1805346335,673230735
2x2,220,575,275
4x4,310,6325,4675
8x8,775,54050,38365
16x16,3655,436695,275005
32x32,22915,3512350,1965855
64x64,169470,28214360,13681895
128x128,1349065,224765490,95939340
256x256,13653440,1805844110,673911325
2x2,205,530,280
4x4,315,6370,4770
8x8,770,54415,38170
16x16,3670,441700,275885
32x32,23010,3529535,1946925
64x64,168960,28130300,13687155
128x128,1352220,224599485,96040950
256x256,13553440,1804601815,673002440
2x2,205,565,275
4x4,305,6600,4830
8x8,785,53960,38190
16x16,3750,437365,276475
32x32,22800,3536010,1943380
64x64,170125,28244000,13700885
